Identifiant parcelle,Identifiant unité de gestion,Identifiant peuplement élémentaire,identifiant foret,"Code
 plle",Code UEP,surface retenue ,Date de description ,HET (% du couvert boisé),CHS (% du couvert boisé),CHP (% du couvert boisé),FRE (% du couvert boisé),CHT (% du couvert boisé),MER (% du couvert boisé),ERS (% du couvert boisé),ALT (% du couvert boisé),PEU (% du couvert boisé),CHR (% du couvert boisé),CHA (% du couvert boisé),BOU (% du couvert boisé),AUL (% du couvert boisé),TRE (% du couvert boisé),SAU (% du couvert boisé),TIL (% du couvert boisé),ERC (% du couvert boisé),A.F (% du couvert boisé),A.F : préciser essence,DOU (% du couvert boisé),P.S (% du couvert boisé),P.L (% du couvert boisé),EPC (% du couvert boisé),EPS (% du couvert boisé),S.P (% du couvert boisé),MEL (% du couvert boisé),A.R (% du couvert boisé),A.R : préciser essence,Total du couvert décrit en essences,Essence dominante 1,Essence dominante 2,Essence dominante 3,Essence déterminant la sylviculture,"Taux de vides non cartographiés
(%)",Structure et occupation du sol,"Type d'espace non boisé
 ou  hors sylviculture",Classe de catégorie de diamètre dominant,Type de peuplement,surf terrière moy,Classe de surface terrière,Année d'installation ,Âge réel en 2010,Classe d'âge en 2010,Présence des semis,Code dépérissement,Essence dépérissante,Durée de survie sanitaire du peuplmt,Risque mitaille,Dernier passage en coupe (EA),Type du dernier passage en coupe ,Proposition de Classement,Site écologique,Proposition d'ilôts de sénescence,Site d'acc public,Proposition même UG,Proposition de rotation ,Proposition de prochain passage,Observation UT,Classement,Groupe Aménagement,mode régé,ess obj,ess obj SIG,DRA,rotation retenue,1er passage,type de coupe,code UG
RETZ_00099,RETZ_00099_u,RETZ_00099_01,RETZ,99,1,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,AUT,,VAUT,"0,0",NC,,,NC,,,,,,,,,,,,,,,,HSY,HSY,,SANS,SANS,,,,,u
RETZ_00100,RETZ_00100_u,RETZ_00100_01,RETZ,100,1,"0,54",05/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,V,EMP,,VEMP,"0,0",NC,,,NC,,1,,,,,,AUT,,,,,,,,HSY,HSY,,SANS,SANS,,,,,u
RETZ_00101,RETZ_00101_a,RETZ_00101_01,RETZ,101,1,"2,60",09/2010,40,,10,,50,,,,,,,,,,,,,,,,,,,,,,,,100,CHT,HET,,CHT,,F,,P,FCHTP,"26,0",5-,1965,45,35-49,,1,,,,2012,A2,AME,,,,,10,2012,à grouper avec 102a,AME,AME1,,CHT,CHT,,6,2017,A3,a
RETZ_00101,RETZ_00101_b,RETZ_00101_02,RETZ,101,2,"0,73",09/2010,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,EPC,,,EPC,,F,,M,FEPCM,"34,0",6+,1965,45,35-49,,1,,,,2004,A1,AME,,,,,,2013,peuplement médiocre degâts de gibier,AME,AME2,,P.L,P.L,7,8,2013,A3,b
RETZ_00101,RETZ_00101_b,RETZ_00101_03,RETZ,101,3,"0,84",09/2010,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,P.S,,,P.S,,F,,G-,FP.SG-,"24,0",4+,,,130-159,,1,,,,2004,A5,AME,,,,,4,2013,,AME,AME2,,P.S,P.S,,8,2013,A4,b
RETZ_00101,RETZ_00101_b,RETZ_00101_04,RETZ,101,4,"1,36",09/2010,,,,,,,,,,,,,,,,,,,,,10,90,,,,,,,100,P.L,,,P.L,,F,,P,FP.LP,"39,0",7+,1965,45,35-49,,1,,,,2004,A2,AME,,,,,10,2013,,AME,AME2,,P.L,P.L,5,8,2013,A3,b
RETZ_00101,RETZ_00101_c,RETZ_00101_05,RETZ,101,5,"10,17",09/2010,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"16,0",3-,,,130-159,het,1,,,,2008,RE,REG1,,,,,4,2014,"classe bdr, 1b présence de semis sur 1/3 de la surface",REG,REGQ,N,HET,HET,5,,2014,RS,c
RETZ_00102,RETZ_00102_a,RETZ_00102_01,RETZ,102,1,"4,71",09/2010,30,,10,,50,,,,,,5,2,,2,1,,,,,,,,,,,,,,100,CHT,HET,,CHT,,F,,P,FCHTP,"24,0",4+,1965,45,35-49,,1,,,,2010,A2,AME,,,,,8,2018,à grouper avec 101a,AME,AME1,,CHT,CHT,,6,2017,A3,a
RETZ_00102,RETZ_00102_b,RETZ_00102_02,RETZ,102,2,"5,39",09/2010,80,2,8,,,,,,,,5,3,,1,1,,,,,,,,,,,,,,100,HET,CHE,,HET,,F,,G,FHETG,"16,0",3-,,,160 et +,,1,,,,2005,A4,REG1,,,,,,,,REG,REGS,N,HET,HET,5,,2018,RE,b
RETZ_00102,RETZ_00102_b,RETZ_00102_03,RETZ,102,3,"1,41",09/2010,30,,40,,,,,,,,,,,,,,,,,,30,,,,,,,,100,CHP,HET,,CHP,20,F,,G-,FCHPG-,"16,0",3-,,,160 et +,,1,,,,2005,A4,REG1,,,,,,, peuplement de vieux pins en mélange avec les feuillus,REG,REGS,N,CHP,CHP,5,,2018,RE,b
